,value,params_dropout_rate,params_embedding_dim,params_hidden_size,params_lr,params_optimizer
0,0.23527155190870908,0.6409335038188823,129,20,0.012379403480344804,Adam
1,0.19796509652794725,0.5013372703575697,231,98,0.0002032208775727389,RMSprop
2,0.35579812864243,0.7957726076143072,256,180,0.049807286850800034,SGD
3,0.3632395018859463,0.753620280690937,136,110,0.012336893046677315,SGD
4,0.21609465181004275,0.7206389283424536,271,255,0.00030553728191876333,Adam
5,0.2557671636507656,0.7395139243210841,299,76,0.0011542009072150956,Adam
6,0.2708157427320823,0.5251757143595721,201,111,0.011319356868244562,Adam
7,0.4199767098736368,0.6619759241798628,181,158,0.022208280920261243,RMSprop
8,0.40253557585879585,0.6320132867478636,155,79,0.001707583450277005,SGD
9,0.3983176878308723,0.5761874513164333,104,93,0.03528294340995736,Adam
10,0.4966076651166157,0.5064346178103203,225,12,1.0629052804329043e-05,RMSprop
11,0.21462022768364428,0.700058716775684,273,255,6.389838376385871e-05,RMSprop
12,0.23717175275910626,0.6877406229492494,238,225,5.027597371740285e-05,RMSprop
13,0.19423160127760297,0.5807743867774808,298,199,0.00013763912276359486,RMSprop
14,0.20646916712680574,0.5757778710394502,297,189,0.00027837923109743257,RMSprop
15,0.1905376010713327,0.5545909514753985,212,142,0.000200479670194564,RMSprop
16,0.23870706899883998,0.5812248585027615,195,145,0.002740972473408281,RMSprop
17,0.26395048518042535,0.5548634127905109,213,206,5.7006257038573344e-05,RMSprop
18,0.35249300194050065,0.6140807673273287,172,160,1.0800351090815834e-05,RMSprop
19,0.2284457657218638,0.5447052821443498,253,223,0.0005037151822242968,RMSprop
20,0.5294386803774543,0.6046011339998453,279,48,0.00011227846357635817,SGD
21,0.19496666452749659,0.5093961074049016,232,132,0.0001601432095859025,RMSprop
22,0.2864772984089114,0.5483140879522457,253,130,2.947471643597127e-05,RMSprop
23,0.23584569467859373,0.5281489129335764,211,128,0.0005868228821649871,RMSprop
24,0.191505025619466,0.5956089125372214,169,176,0.0001287096808540891,RMSprop
25,0.3281789992148705,0.599076129509609,156,169,2.6598261327499637e-05,RMSprop
26,0.29744675409727994,0.6621056450553408,179,193,0.0034781592697451973,RMSprop
27,0.2100371140266321,0.6257840236958598,138,215,0.00011535906191792855,RMSprop
28,0.18677095163263668,0.5855871928403469,105,179,0.00038774559783067244,RMSprop
29,0.46263571355224314,0.6517473711173136,101,151,0.0005493561859825297,SGD
